titre,sous_titre,description,cat,sous_cat,link,link_title,lieu,img,img_alt,date
Hugues DUFOURT,,"Compositeur et philosophe, Hugues Dufourt (1943-) a contribué à la définition du mouvement spectral. Une grande part de son œuvre s’appuie sur de grands sujets picturaux et littéraires.",,,./0040868-biographie-hugues-dufourt.aspx,,,/ui/skins/MEDIA/images/picto-pages-decouverte-artiste.svg,Hugues Dufourt (photographie de presse) © Astrid Karger,1943-
Paul DUKAS,,"Perfectionniste, Paul Dukas (1865-1935) détruit nombre de ses œuvres qu’il ne juge pas à la hauteur. Brillant orchestrateur, il compose dans un style indépendant, entre romantisme et impressionnisme.",,,./0043731-biographie-paul-dukas.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Dukas-Paul/Paul-Dukas-La-Revue-musicale-1926-[detail]©DR_LQ.jpg,"Portrait du compositeur Paul Dukas, la revue musicale 1926 © DR",1865-1935
Henri DUTILLEUX,,"Henri Dutilleux (1916-2013) compose une musique héritière du style classique tout en employant un langage d’avant-garde. Ses œuvres, nées d’une longue maturation, séduisent le public par leur poésie.",,,./0041134-biographie-henri-dutilleux.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Dutilleux-henri/Portrait-d-Henri-Dutilleux©Coupannec-Leemage_LQ.jpg,Portrait d’Henri Dutilleux © Coupannec / Leemage,1916-2013
Antonín DVOŘÁK,,"Antonín Dvořák (1841-1904) compose des œuvres où se mêlent musique slave et romantisme allemand. Reconnu et encouragé par Brahms, sa renommée s’étend jusqu’en Amérique.",,,./0035605-biographie-antonin-dvorak.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Dvorak-antonin/Anton-Dvorak-1900©Gallica-BnF_LQ.jpg,"Portrait du compositeur Antonín Dvořák, 1900 © Gallica BnF",1841-1904
Duke ELLINGTON,,"L’importance de Duke Ellington dans l’histoire du jazz est considérable. Pianiste, compositeur et chef d’orchestre, son nom est associé à certains des thèmes les plus fameux de cette musique.",,,./0039856-duke-ellington.aspx,,,https://drop.philharmoniedeparis.fr/CMDP/CMDP000011300/Portrait-de-Duke-Ellington-©-William-Gottlieb-Library-of-Congress_350.jpg,"Portrait de Duke Ellington, photo de William Gottlieb. Library of Congress",1899-1974
César FRANCK,,"Compositeur, organiste, professeur au Conservatoire de Paris, César Franck (1822-1890) participe au renouveau de la musique française et inspire la nouvelle génération de musiciens.",,,./0040974-cesar-franck.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Franck-Cesar/Cesar-Franck-photo-Pierre-Petit-1887-Gallica-BnF_350.jpg,,1822-1890
Giovanni GABRIELI,,"Entre Renaissance et baroque, Giovanni Gabrieli (entre 1554 et 1557-1612) compose encore dans un style polyphonique tout en se montrant innovant, notamment dans sa musique instrumentale.",,,./0035059-biographie-giovanni-gabrieli.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/generique-compositeur.jpg,Portrait du compositeur Giovanni Gabrieli par Annibale Carracci ©Wikipedia,155?-1612
Christoph Willibald GLUCK,,"Ayant acquis une grande expérience de ses voyages en Europe, Christoph Willibald Gluck (1714-1787) réforme l’opéra en composant une musique plus naturelle au service du texte et de l’action.",,,./0045806-biographie-christoph-willibald-gluck.aspx,,,https://drop.philharmoniedeparis.fr/Biographies/compositeurs/Gluck-Christoph-Willibald/E-Desmaisons-Christoph-Willibald-Gluck©Philharmonie-de-Paris-J-M-Angles_LQ.jpg,"E. Desmaisons, Christoph Willibald Gluck © Philharmonie de Paris, JM. Anglès",1714-1787
François-Joseph GOSSEC,,"Pris dans la tourmente de la Révolution française et homme à hautes responsabilités, François-Joseph Gossec (1734-1829) compose des œuvres au service du gouvernement républicain.",,,./0042588-biographie-francois-joseph-gossec.aspx,,,https://drop.philharmoniedeparis.fr/Biographies/compositeurs/Gossec-Francois-Joseph/Portrait-de-Francois-Joseph-Gossec-par-Antoine-Vestier-vers-1791-©-Jean-Marc-Angles-(photo)-Philharmonie-de-Paris-Musee-de-la-musique_350.jpg,Portrait de François-Joseph Gossec par Antoine Vestier vers 1791 © Jean-Marc Anglès (photo) - Philharmonie de Paris - Musée de la musique,1734-1829
Charles GOUNOD,,"Charles Gounod (1818-1893) se consacre principalement à la musique vocale et religieuse. Par son style épuré et élégant, il innove et donne un nouveau souffle à l’opéra français du XIXe siècle.",,,./0041286-biographie-charles-gounod.aspx,,,https://drop.philharmoniedeparis.fr/Biographies/compositeurs/Gounod-Charles/Nadar-Charles-Gounod-1890©Gallica-BnF_LQ.jpg,"Nadar, Charles Gounod, 1890 © Gallica BnF",1818-1893
Edvard GRIEG,,"Dans ses compositions d’influence romantique et au langage harmonique audacieux, Edvard Grieg (1843-1907) insuffle une veine populaire, puisée dans le folklore de sa Norvège natale.",,,./0035221-biographie-edvard-grieg.aspx,,,https://drop.philharmoniedeparis.fr/Biographies/compositeurs/Grieg-Edvard/Portrait-de-Edvard-Grieg-photo-de-Axel-Lindahl-1876©Bibliotheque-de-Bergen-Norvege_350.jpg,"Portrait de Edvard Grieg, photo de Axel Lindahl, 1876 © Bibliothèque de Bergen, Norvège",1843-1907
Georg Friedrich HAAS,,"L’expérimentation sonore et l’intégration du spectre harmonique irriguent les compositions de Georg Friedrich Haas (1953-), qui repousse sans cesse les possibilités de la gamme tempérée.",,,./0987125-biographie-georg-friedrich-haas.aspx,,,/ui/skins/MEDIA/images/picto-pages-decouverte-artiste.svg,Culture Musicale © DR,1953-
Georg Friedrich HAENDEL,,"Né en Allemagne, Georg Friedrich Haendel (1685-1759) s’installe en Angleterre, terre d’adoption où il rencontre le succès. Il y compose de nombreux operas serias et crée l’oratorio anglais.",,,./0038705-biographie-georg-friedrich-haendel.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Haendel-Georg-Friedrich/Balthasar-Denner-George-Frideric-Handel©National-Portrait-Gallery-London-CC_LQ.jpg,"Balthasar Denner, portrait de Georg Friedrich Haendel © National Portrait Gallery London CC",1685-1759
Cristóbal HALFFTER,,"Compositeur et chef d’orchestre, Cristóbal Halffter (1930-2021) participe au renouvellement de la musique espagnole en faisant appel dans ses œuvres aux techniques sérielles, aléatoires et électroniques.",,,./0042632-biographie-cristobal-halffter.aspx,,,/ui/skins/MEDIA/images/picto-pages-decouverte-artiste.svg,Culture Musicale © DR,1930-2021
Joseph HAYDN,,"Ami de Mozart, maître de Beethoven, Joseph Haydn (1732-1809) est une figure majeure de l’époque classique. Il contribue notamment à fixer les formes de la symphonie et du quatuor à cordes.",,,./0038599-biographie-joseph-haydn.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Haydn-Joseph/Thomas-Hardy-Franz-Joseph-Haydn©Gallica-BnF_LQ.jpg,"Franz Joseph Haydn, par Thomas Hardy © Gallica - BnF",1732-1809
Pierre HENRY,,"Pionnier de la musique concrète, sacré « pape de la techno » par la jeune génération dans les années 1990, Pierre Henry (1927-2017) expérimente le son sous toutes ses formes.",,,./0055491-pierre-henry.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Henry-Pierre/Pierre-Henry-photo-Thierry-Martinot-Lebrecht_350.jpg,Pierre Henry dans son studio à Paris en 1996. Photo de Thierry Martinot/Lebrecht,1927-2017
Arthur HONEGGER,,"Membre du groupe des Six, Arthur Honegger (1892-1955) est un compositeur indépendant et intemporel, entre tradition et modernité. Ses œuvres sont exigeantes tout en restant accessibles.",,,./0041231-biographie-arthur-honegger.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Honegger-Arthur/Arthur-Honegger-Photographie-de-presse-Agence-Meurisse-1928©Gallica-BnF_LQ.jpg,"Arthur Honegger, Photographie de presse, agence Meurisse © Gallica BnF",1892-1955
Leoš JANÁČEK,,Leoš Janáček (1854-1928) est l’un des plus grands défenseurs de la culture tchèque. Il compose selon une forme d’écriture vocale inspirée de la façon naturelle dont les Tchèques parlent et chantent.,,,./0046339-biographie-leos-janacek.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Janacek-Leos/Portrait-de-Leos-Janacek©Osterreichische-Nationalbibliothek_LQ.jpg,Portrait de Leoš Janáček © Osterreichische Nationalbibliothek,1854-1928
Betsy JOLAS,,"Compositrice et pédagogue, lauréate de nombreux prix, Betsy Jolas (1926-) écrit beaucoup pour la voix qui occupe une place essentielle dans ses œuvres et qu’elle traite parfois comme un instrument.",,,./0051665-biographie-betsy-jolas.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Jolas-Betsy/Fernand-Michaud-Betsy-Jolas-1986©Gallica-BnF_LQ.jpg,"Portrait de Betsy Jolas, photographie de Fernand Michaud, 1986 © Gallica - BnF",1926-
André JOLIVET,,"Élève de Varèse, André Jolivet (1905-1974) élabore un style d’écriture original, teinté de primitivisme et de spiritualité. Abordant tous les genres, il compose beaucoup pour de Comédie-Française.",,,./0038637-biographie-andre-jolivet.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Jolivet-Andre/Caricature-de-Jolivet-par-Pierre-Victor-Pasquier-©-Jean-Marc-Angles-(photo)-Philharmonie-de-Paris-Musee-de-la-musique_350.jpg,Caricature de Jolivet par Pierre-Victor Pasquier © Jean-Marc Anglès (photo) - Philharmonie de Paris - Musée de la musique,1905-1974
Mauricio KAGEL,,"S’attaquant à plusieurs domaines artistiques, Mauricio Kagel (1931-2008) s’attache à renverser, avec ironie et mordant, les us et coutumes de la musique occidentale, comme le concert en lui-même.",,,./0042153-biographie-mauricio-kagel.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Kagel-Mauricio/Portrait-de-Mauricio-Kagel-1959©Osterreichischen-Nationalbibliothek_LQ.jpg,"Portrait de Mauricio Kagel, 1959 © Österreichischen Nationalbibliothek",1931-2008
György KURTÁG,,"Spécialiste de l’épure, sans cesse à la recherche de l’essentiel, György Kurtág (1926-) aborde rarement les grandes œuvres pour orchestre et préfère les petits effectifs et les miniatures.",,,./0035912-biographie-gyorgy-kurtag.aspx,,,/ui/skins/MEDIA/images/picto-pages-decouverte-artiste.svg,Culture musicale © Dr,1926-
